# FAQ Data File
# Format: Question | Answer
# Lines starting with # are comments

What are your business hours? | Our business hours are Monday to Friday, 9 AM to 6 PM, and Saturday 10 AM to 4 PM. We are closed on Sundays.

How can I track my order? | You can track your order by logging into your account and visiting the 'My Orders' section. You'll receive a tracking number via email once your order ships.

What is your return policy? | We accept returns within 30 days of purchase. Items must be unused and in original packaging. Contact our support team to initiate a return.

Do you offer international shipping? | Yes, we ship to over 50 countries worldwide. Shipping costs and delivery times vary by location. Check our shipping page for details.

How do I reset my password? | Click on 'Forgot Password' on the login page. Enter your email address, and we'll send you a link to reset your password.

What payment methods do you accept? | We accept all major credit cards (Visa, MasterCard, American Express), PayPal, and Apple Pay.

How long does shipping take? | Standard shipping takes 5-7 business days. Express shipping takes 2-3 business days. International shipping may take 10-15 business days.

Can I cancel my order? | Yes, you can cancel your order within 24 hours of placing it. After that, the order may have already been processed and shipped.

Do you have a warranty? | All our products come with a 1-year manufacturer warranty covering defects in materials and workmanship.

How do I contact customer support? | You can reach our customer support team via email at support@example.com or call us at 1-800-123-4567 during business hours.

Are there any discounts available? | Yes! Sign up for our newsletter to receive a 10% discount on your first order. We also run seasonal promotions.

What is your privacy policy? | We take your privacy seriously. We never share your personal information with third parties. Visit our Privacy Policy page for full details.

Do you offer gift cards? | Yes, we offer digital gift cards in denominations of $25, $50, $100, and $200. They never expire!

How do I create an account? | Click 'Sign Up' at the top of our website, enter your email and create a password. You'll receive a confirmation email to verify your account.

who did it to you? | its Mostafa Mahmoud. 

Is my payment information secure? | Absolutely! We use SSL encryption and PCI-compliant payment processing to ensure your payment information is always secure.
